question,references,corpus_id
What optional parameters does the function 'convert_to_torch_tensor' accept?,"[{""content"": ""h_tensor(x, device: str | None = None, pin_memory: bool = False, use_stream: bool = False, stream: torch.cuda.Stream | torch.cuda.classes.Stream | None = None)[source]#\nConverts any (possibly nested) structure to torch.Tensors.\n\nParameters:\n\nx \u2013 The input structure whose leaves will be converted.\ndevice \u2013 The device to create the tensor on (e.g. \u201ccuda:0\u201d or \u201ccpu\u201d).\npin_memory \u2013 If True, calls pin_memory() on the created tensors.\nuse_stream \u2013 If True, uses a separate CUDA stream for Tensor.to().\nstream \u2013 An optional CUDA stream for the host-to-device copy in "", ""start_index"": 100, ""end_index"": 664}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.utils.torch_utils.convert_to_torch_tensor.txt
What are the methods for achieving concurrency in Ray applications?,"[{""content"": ""the number of pending tasks\nPattern: Using resources to limit the number of concurrently running tasks\nPattern: Using asyncio to run actor methods concurrently\nPattern: Using an actor to "", ""start_index"": 285, ""end_index"": 472}, {""content"": ""a task harms performance and fault tolerance\nAnti-pattern: Calling ray.get in a loop harms parallelism\nAnti-pattern: Calling ray.get unnecessarily harms performance\nAnti-pattern: "", ""start_index"": 667, ""end_index"": 846}]",datasets/raydocs_full/ray-core_patterns_index.txt
How does Ray Data handle tensors of variable shapes?,"[{""content"": ""batch[\""image\""].dtype\ndtype('uint8')\n\n\n\n\nBatches of variable-shape tensors#\nIf your tensors vary in shape, Ray Data represents batches as arrays of object dtype.\n>>> import ray\n>>> ds = "", ""start_index"": 742, ""end_index"": 927}]",datasets/raydocs_full/data_working-with-tensors.txt
What action occurs in PopulationBasedTraining when cloning a lower scoring trial into a higher scoring one?,"[{""content"": ""\n\n[PopulationBasedTraining] [Exploit] Cloning trial 942f2_00000 (score = 0.090282) into trial 942f2_00001 (score = -0.168306)\n\n2025-02-24 16:22:22,343\tINFO pbt.py:905 -- "", ""start_index"": 44427, ""end_index"": 44597}, {""content"": ""03 (score = 0.239975)\n\n2025-02-24 16:22:25,541\tINFO pbt.py:905 -- \n\n[PopulationBasedTraining] [Explore] Perturbed the hyperparameter config of trial942f2_00003:\nlr : 0.09"", ""start_index"": 46913, ""end_index"": 47083}]",datasets/raydocs_full/tune_examples_pbt_visualization_pbt_visualization.txt
What are the significant indicators shown in the training progress animation for PBT?,"[{""content"": ""filename=\""pbt.gif\"",\n)\n\n\n\n\nWe can also animate the training progress to see what\u2019s happening to the model parameters at each step. The animation shows:\n\nHow parameters move through space during training\nWhen exploitation occurs (jumps in parameter space)\nHow gradient directions change after hyperparameter perturbation\nBoth trials eventually converging to the optimal parameter "", ""start_index"": 32541, ""end_index"": 32919}]",datasets/raydocs_full/tune_examples_pbt_visualization_pbt_visualization.txt
What types of data can the Distribution.logp method accept?,"[{""content"": ""\n\nray.rllib.models.distributions.Distribution.logp#\n\n\nabstract Distribution.logp(value: numpy.array | jnp.ndarray | tf.Tensor | torch.Tensor, **kwargs) \u2192 numpy.array | jnp.ndarray | tf.Tensor | "", ""start_index"": 0, ""end_index"": 194}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.models.distributions.Distribution.logp.txt
What is computed by the Distribution.logp method?,"[{""content"": ""torch.Tensor[source]#\nThe log-likelihood of the distribution computed at value\n\nParameters:\n\nvalue "", ""start_index"": 194, ""end_index"": 293}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.models.distributions.Distribution.logp.txt
What are the benefits of the streaming loading interface patch developed by Data-Juicer for Apache Arrow?,"[{""content"": ""18.1.0), doesn\u2019t support streaming reading of JSON files.\nTo address the lack of native support for streaming JSON data, the Data-Juicer team developed a streaming loading interface and contributed an in-house patch for Apache Arrow (PR to the repository). This patch helps alleviate Out-of-Memory issues. With this patch, Data-Juicer in Ray mode, by default, uses the streaming loading interface "", ""start_index"": 2896, ""end_index"": 3293}]",datasets/raydocs_full/ray-more-libs_data_juicer_distributed_data_processing.txt
What is the general size of datasets deduplicated by Data-Juicer's MinHash-based operator?,"[{""content"": ""streaming-read support for CSV and Parquet files is already enabled.\n\n\nDeduplication#\nData-Juicer provides an optimized MinHash-LSH-based deduplication operator in Ray mode. It\u2019s a multiprocessing Union-Find set in Ray Actors and a load-balanced distributed algorithm, BTS, to complete equivalence class merging. This operator can deduplicate terabyte-sized datasets on 1280 CPU cores "", ""start_index"": 3326, ""end_index"": 3711}]",datasets/raydocs_full/ray-more-libs_data_juicer_distributed_data_processing.txt
What features of Ray and Arrow are considered for pre-splitting datasets in Data-Juicer?,"[{""content"": ""for such cases, Data-Juicer automatically splits the original dataset into smaller files in advance, taking into consideration the features of Ray and Arrow. When you encounter such "", ""start_index"": 2068, ""end_index"": 2250}]",datasets/raydocs_full/ray-more-libs_data_juicer_distributed_data_processing.txt
How can GPU resources be allocated to a deployment using Ray Serve?,"[{""content"": ""replica uses a single GPU, you can do the\nfollowing:\n@serve.deployment(ray_actor_options={\""num_gpus\"": 1})\ndef func(*args):\n    return "", ""start_index"": 733, ""end_index"": 867}, {""content"": "" \""num_cpus\"".\n\n\nCustom resources, accelerator types, and more#\nYou can also specify custom resources in ray_actor_options, for example to ensure that a deployment is scheduled on a specific node.\nFor example, if you have a deployment that requires 2 units of the \""custom_resource\"" resource, you can specify it like this:\n@serve.deployment(ray_actor_options={\""resources\"": {\""custom_resou"", ""start_index"": 1898, ""end_index"": 2282}]",datasets/raydocs_full/serve_resource-allocation.txt
What types of resource management does Ray Serve support for its deployments?,"[{""content"": "" helps you configure Ray Serve to:\n\nScale your deployments horizontally by specifying a number of replicas\nScale up and down automatically to react to changing traffic\nAllocate hardware resources (CPUs, GPUs, other accelerators, etc) for each deployment\n\n\nResource management (CPUs, GPUs, "", ""start_index"": 33, ""end_index"": 322}, {""content"": ""(CPUs, GPUs, other accelerators, etc) for each deployment\n\n\nResource management (CPUs, GPUs, accelerators)#\nYou may want to specify a deployment\u2019s resource requirements to reserve cluster resources like GPUs or other accelerators.  To assign hardware resources per replica, you can pass "", ""start_index"": 229, ""end_index"": 516}]",datasets/raydocs_full/serve_resource-allocation.txt
How does Ray Serve manage CPU resource allocations for replicas by default?,"[{""content"": ""resource requirements to\nray_actor_options.\nBy default, each replica reserves one CPU.\nTo learn "", ""start_index"": 516, ""end_index"": 612}]",datasets/raydocs_full/serve_resource-allocation.txt
What are the specific integration examples listed for using Ray Tune with different machine learning frameworks?,"[{""content"": ""frameworks#\n\n\nRay Tune integrates with many popular machine learning frameworks. Here you find a few practical examples showing you how to tune your models. At the end of these guides you will often find links to even more examples.\n\n\nHow to use Tune with Keras and TensorFlow models\n\nHow to use Tune with PyTorch models\n\nHow to tune PyTorch Lightning models\n\nTuning RL experiments with Ray Tune and Ray Serve\n\nTuning XGBoost parameters with Tune\n\nTuning LightGBM parameters with Tune\n\nTuning Horovod parameters with Tune\n\nTuning Hugging Face Transformers with Tune\n\nEnd-to-end example for tuning a TensorFlow model\n\nEnd-to-end example for tuning a PyTorch model with PBT\n\n\n\n\n\nExperiment tracking tools#\n\n\nRay Tune integrates with some popular Experiment tracking and "", ""start_index"": 273, ""end_index"": 1041}]",datasets/raydocs_full/tune_examples_index.txt
What are the parameters of the RLlibCallback.on_episode_created method?,"[{""content"": ""\n\nray.rllib.callbacks.callbacks.RLlibCallback.on_episode_created#\n\n\nRLlibCallback.on_episode_created(*, episode: SingleAgentEpisode | MultiAgentEpisode | EpisodeV2, worker: EnvRunner | None = None, env_runner: EnvRunner | None = None, metrics_logger: MetricsLogger | None = None, base_env: BaseEnv | None = None, env: gymnasium.Env | None = None, policies: Dict[str, Policy] | None = None, rl_module: RLModule | None = None, env_index: int, **kwargs) \u2192 None[source]#\nCallback run when a "", ""start_index"": 0, ""end_index"": 487}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.callbacks.callbacks.RLlibCallback.on_episode_created.txt
What topics are covered in the user guides for Ray applications?,"[{""content"": ""guides include:\n\nDebugging Applications\nMonitoring with the CLI or SDK\nConfiguring Logging\nAdding Application-Level Metrics\nTracing\n\n\n"", ""start_index"": 97, ""end_index"": 295}]",datasets/raydocs_full/ray-observability_user-guides_index.txt
What specific guides are provided for monitoring Ray applications?,"[{""content"": ""guides include:\n\nDebugging Applications\nMonitoring with the CLI or SDK\nConfiguring Logging\nAdding "", ""start_index"": 97, ""end_index"": 195}]",datasets/raydocs_full/ray-observability_user-guides_index.txt
What are the specific configurations for enabling model parallelism in the vLLMEngineProcessorConfig?,"[{""content"": ""ls, specify model parallelism.\nconfig = vLLMEngineProcessorConfig(\n    model_source=\""unsloth/Llama-3.1-8B-Instruct\"",\n    engine_kwargs={\n        \""max_model_len\"": 16384,\n        \""tensor_parallel_size\"": 2,\n        \""pipeline_parallel_size\"": 2,\n        \""enable_chunked_prefill\"": True,\n        \""max_num_batched_tokens\"": 2048,\n    },\n    concurrency=1,\n    batch_size=64,\n)\n\n\nThe underlying Processor object instantiates replicas of the vLLM engine and "", ""start_index"": 3324, ""end_index"": 3771}]",datasets/raydocs_full/data_working-with-llms.txt
What is the specified model source for the vLLMEngineProcessorConfig that includes AWS S3 details?,"[{""content"": ""argument.\nconfig = vLLMEngineProcessorConfig(\n    model_source=\""s3://your-bucket/your-model/\"",  # Make sure adding the trailing slash!\n    engine_kwargs={\""load_format\"": \""runai_streamer\""},\n    runtime_env={\""env_vars\"": {\n        \""AWS_ACCESS_KEY_ID\"": \""your_access_key_id\"",\n        \""AWS_SECRET_ACCESS_KEY\"": \""your_secret_access_key\"",\n        \""AWS_REGION\"": \""your_region\"",\n    }},\n    concurrency=1,\n    batch_size=64,\n)\n\n\nTo do multi-LoRA batch inference, you need to set LoRA "", ""start_index"": 4430, ""end_index"": 4901}]",datasets/raydocs_full/data_working-with-llms.txt
What steps are involved in setting up a RayJob using KubeRay?,"[{""content"": ""is step creates a local Kubernetes cluster using Kind. If you already have a Kubernetes cluster, you can skip this step.\nkind create cluster --image=kindest/node:v1.26.0\n\n\n\n\nStep 2: Install "", ""start_index"": 258, ""end_index"": 448}, {""content"": ""KubeRay operator#\nFollow this document to install the latest stable KubeRay operator from the Helm repository.\n\n\nStep 3: Create a RayJob#\nA RayJob consists of a RayCluster custom resource and a job "", ""start_index"": 448, ""end_index"": 646}, {""content"": ""bmits a job when the cluster is ready. The following is a CPU-only RayJob description YAML file for MNIST training on a PyTorch model.\n# Download `ray-job.pytorch-mnist.yaml`\ncurl -LO https://raw.gi"", ""start_index"": 737, ""end_index"": 935}, {""content"": ""US      RESTARTS   AGE\n# kuberay-operator-6dddd689fb-ksmcs                                1/1     Running     0          113m\n# rayjob-pytorch-mnist-raycluster-rkdmq-small-group-"", ""start_index"": 3801, ""end_index"": 3979}]",datasets/raydocs_full/cluster_kubernetes_examples_mnist-training-example.txt
What are the requirements for the worker and head Pods in a RayJob using KubeRay?,"[{""content"": ""Each worker Pod requires 3 CPUs, and the head Pod requires 1 CPU, as described in the template "", ""start_index"": 1315, ""end_index"": 1410}]",datasets/raydocs_full/cluster_kubernetes_examples_mnist-training-example.txt
How long did the RayJob's training process take?,"[{""content"": ""Training completed after 10 iterations at 2024-06-16 22:33:06. Total running time: 7min 10s\n\n# "", ""start_index"": 5521, ""end_index"": 5616}]",datasets/raydocs_full/cluster_kubernetes_examples_mnist-training-example.txt
What is the property mentioned in the context of ray.rllib.offline.offline_data.OfflineData?,"[{""content"": ""OfflineData.default_map_batches_kwargs#\n\n\n"", ""start_index"": 84, ""end_index"": 184}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.offline.offline_data.OfflineData.default_map_batches_kwargs.txt
Which property of OfflineData is described in the text?,"[{""content"": ""\n\nray.rllib.offline.offline_data.OfflineData.default_map_batches_kwargs#\n\n\nproperty OfflineData.default_map_batches_kwargs#\n\n\n"", ""start_index"": 0, ""end_index"": 184}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.offline.offline_data.OfflineData.default_map_batches_kwargs.txt
What action space does an RL environment define?,"[{""content"": ""which is the structure and shape of observable tensors at each timestep,\nan action space, which defines the available actions for the agents at each time step, a reward function,\nand the rules "", ""start_index"": 3797, ""end_index"": 3990}]",datasets/raydocs_full/rllib_key-concepts.txt
How can you mitigate the issue of Torch tensors on GPU devices when saving to disk?,"[{""content"": ""NumPy.\nFor more information on saving data, read\nSaving data.\n\nCaution\nTorch tensors that are on GPU devices can\u2019t be serialized and written to disk. Convert the tensors to CPU (tensor.to(\""cpu\"")) before saving the data.\n\n\n\n\nParquet\nimport torch\nimport ray\n\ntensor = torch.Tensor(1)\nds = "", ""start_index"": 7807, ""end_index"": 8094}]",datasets/raydocs_full/data_working-with-pytorch.txt
What are the key features of Ray Data's integration with Ray Train?,"[{""content"": ""Train#\nRay Data integrates with Ray Train for easy data ingest for data parallel training, with support for PyTorch, PyTorch Lightning, or Hugging Face training.\nimport torch\nfrom torch import "", ""start_index"": 1080, ""end_index"": 1273}]",datasets/raydocs_full/data_working-with-pytorch.txt
How does the operation of iterating over batches differ between PyTorch DataLoader and Ray Data?,"[{""content"": ""ds.map(extract_label).map(transform_image)\n\n\n\n\n\n\nPyTorch DataLoader#\nThe PyTorch DataLoader can be replaced by calling Dataset.iter_torch_batches() to iterate over batches of the dataset.\nThe "", ""start_index"": 11977, ""end_index"": 12169}]",datasets/raydocs_full/data_working-with-pytorch.txt
What is the return value of get_module if the specified module_id is not found?,"[{""content"": ""'default_policy') \u2192 RLModule | None[source]#\nReturns the (single-agent) RLModule with model_id (None if ID not found).\n\nParameters:\nmodule_id \u2013 ID of the (single-agent) RLModule to return from "", ""start_index"": 95, ""end_index"": 288}, {""content"": "" inside the local EnvRunner\u2019s\nMultiRLModule. None if module_id doesn\u2019t exist.\n\n\n\n\n"", ""start_index"": 383, ""end_index"": 579}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.algorithms.algorithm.Algorithm.get_module.txt
What does the get_module function return when the specified module_id is 'default_policy'?,"[{""content"": ""\n\nray.rllib.algorithms.algorithm.Algorithm.get_module#\n\n\nAlgorithm.get_module(module_id: str = 'default_policy') \u2192 RLModule | None[source]#\nReturns the (single-agent) RLModule with model_id "", ""start_index"": 0, ""end_index"": 190}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.algorithms.algorithm.Algorithm.get_module.txt
